Action,Form,Position,SI,Triage
Meet key people in person,Video pitch,By thematic interest,0.3364,Low
Pay for advertising,Video pitch,By geographic location,0.3323,Low
Fill online media forms,Personalized report,By hierarchy (CEO / Editor),0.3313,Low
Send email,Infographic,By geographic location,0.3312,Low
Fill online media forms,HTML email,By workplace / company,0.3277,Low
Pay for advertising,Personalized report,By geographic location,0.3254,Low
Send letters by post,PDF attachment,By thematic interest,0.3248,Low
Meet key people in person,HTML email,By geographic location,0.3241,Low
Meet key people in person,Video pitch,By workplace / company,0.3224,Low
Meet key people in person,HTML email,By thematic interest,0.3194,Low
Pay for advertising,PDF attachment,By workplace / company,0.3188,Low
Pay for advertising,HTML email,By thematic interest,0.3158,Low
Meet key people in person,Video pitch,By hierarchy (CEO / Editor),0.3151,Low
Send letters by post,Infographic,By geographic location,0.3115,Low
Pay for advertising,Ready-made template,By thematic interest,0.3103,Low
Pay for advertising,Ready-made template,By workplace / company,0.3094,Low
Send letters by post,Video pitch,By hierarchy (CEO / Editor),0.308,Low
Send email,PDF attachment,By geographic location,0.307,Low
Post on forums,PDF attachment,By hierarchy (CEO / Editor),0.3057,Low
Send letters by post,Personalized report,By workplace / company,0.3048,Low
Pay for advertising,Video pitch,By hierarchy (CEO / Editor),0.3038,Low
Fill online media forms,Infographic,By geographic location,0.3033,Low
Post on forums,Infographic,By geographic location,0.3009,Low
Meet key people in person,PDF attachment,By hierarchy (CEO / Editor),0.3001,Low
Fill online media forms,Video pitch,By hierarchy (CEO / Editor),0.3001,Low
Send letters by post,HTML email,By workplace / company,0.2984,Low
Post on forums,PDF attachment,By workplace / company,0.2978,Low
Post on forums,Infographic,By thematic interest,0.2956,Low
Fill online media forms,HTML email,By geographic location,0.2947,Low
Send email,Video pitch,By geographic location,0.2938,Low
Send email,PDF attachment,By workplace / company,0.2932,Low
Send letters by post,PDF attachment,By geographic location,0.2925,Low
Send letters by post,Ready-made template,By geographic location,0.2924,Low
Meet key people in person,PDF attachment,By thematic interest,0.2905,Low
Fill online media forms,Ready-made template,By thematic interest,0.2898,Low
Send letters by post,Personalized report,By thematic interest,0.2886,Low
Send email,Ready-made template,By hierarchy (CEO / Editor),0.2881,Low
Fill online media forms,Infographic,By workplace / company,0.285,Low
Send letters by post,PDF attachment,By workplace / company,0.2848,Low
Send letters by post,Infographic,By workplace / company,0.2829,Low
Pay for advertising,HTML email,By geographic location,0.2814,Low
Fill online media forms,HTML email,By hierarchy (CEO / Editor),0.2814,Low
Send letters by post,HTML email,By hierarchy (CEO / Editor),0.2801,Low
Post on forums,Ready-made template,By thematic interest,0.2783,Low
Send letters by post,Video pitch,By geographic location,0.277,Low
Send letters by post,Personalized report,By hierarchy (CEO / Editor),0.277,Low
Send email,Ready-made template,By workplace / company,0.2767,Low
Send letters by post,Infographic,By hierarchy (CEO / Editor),0.2764,Low
Post on forums,PDF attachment,By thematic interest,0.2754,Low
Send email,Infographic,By hierarchy (CEO / Editor),0.2722,Low
Post on forums,PDF attachment,By geographic location,0.2713,Low
Send letters by post,Infographic,By thematic interest,0.2711,Low
Post on forums,Video pitch,By workplace / company,0.2698,Low
Post on forums,HTML email,By hierarchy (CEO / Editor),0.2647,Low
Fill online media forms,Infographic,By hierarchy (CEO / Editor),0.2641,Low
Send email,Infographic,By thematic interest,0.2637,Low
Post on forums,Ready-made template,By geographic location,0.2626,Low
Fill online media forms,Infographic,By thematic interest,0.2616,Low
Fill online media forms,Video pitch,By workplace / company,0.2613,Low
Send email,Personalized report,By geographic location,0.2525,Low
Meet key people in person,Ready-made template,By hierarchy (CEO / Editor),0.2511,Low
Pay for advertising,Infographic,By geographic location,0.2482,Low
Send email,Personalized report,By hierarchy (CEO / Editor),0.2475,Low
Fill online media forms,PDF attachment,By geographic location,0.247,Low
Meet key people in person,Personalized report,By geographic location,0.2326,Low
